month,customer_type,gmv,n_orders
2016-09,new,143.46,1
2016-10,new,45976.86,262
2016-10,repeat,513.8,3
2016-12,new,19.62,1
2017-01,new,124196.05,717
2017-01,repeat,3286.32,33
2017-02,new,267893.12,1628
2017-02,repeat,3346.2,25
2017-03,new,409208.29,2503
2017-03,repeat,5122.66,43
2017-04,new,383482.09,2256
2017-04,repeat,7330.31,47
2017-05,new,551987.86,3451
2017-05,repeat,14863.54,95
2017-06,new,477726.15,3037
2017-06,repeat,12324.22,98
2017-07,new,550035.03,3752
2017-07,repeat,16264.05,120
2017-08,new,623690.4,4057
2017-08,repeat,22141.96,136
2017-09,new,680229.02,4004
2017-09,repeat,20848.47,146
2017-10,new,730902.05,4328
2017-10,repeat,20214.96,150
2017-11,new,1121411.09,7060
2017-11,repeat,31953.11,229
2017-12,new,813793.39,5338
2017-12,repeat,29284.9,175
2018-01,new,1044380.79,6842
2018-01,repeat,33506.67,227
2018-02,new,930033.8,6288
2018-02,repeat,36134.61,267
2018-03,new,1087875.41,6774
2018-03,repeat,32722.83,229
2018-04,new,1099905.37,6582
2018-04,repeat,32973.56,216
2018-05,new,1089904.09,6506
2018-05,repeat,38870.43,243
2018-06,new,977726.97,5878
2018-06,repeat,34251.32,221
2018-07,new,996077.5,5949
2018-07,repeat,31729.78,210
2018-08,new,954397.07,6144
2018-08,repeat,31094.57,207
