category,n_orders,revenue,avg_item_price
health_beauty,8836,1258681.34,130.16
watches_gifts,5624,1205005.68,201.14
bed_bath_table,9417,1036988.68,93.3
sports_leisure,7720,988048.97,114.34
computers_accessories,6689,911954.32,116.51
furniture_decor,6449,729762.49,87.56
cool_stuff,3632,635290.85,167.36
housewares,5884,632248.66,90.79
auto,3897,592720.11,139.96
garden_tools,3518,485256.46,111.63
toys,3886,483946.6,117.55
baby,2885,411764.89,134.34
perfumery,3162,399124.87,116.74
telephony,4199,323667.53,71.21
office_furniture,1273,273960.7,162.01
stationery,2311,230943.23,91.75
computers,181,222963.13,1098.34
pet_shop,1710,214315.41,110.07
musical_instruments,628,191498.88,281.62
small_appliances,630,190648.58,280.78
electronics,2550,160246.74,57.91
consoles_games,1062,157465.22,138.49
fashion_bags_accessories,1864,152823.54,75.25
construction_tools_construction,748,144677.59,155.73
luggage_accessories,1034,140429.98,128.6
home_appliances_2,234,113317.74,476.12
home_construction,490,83088.12,137.56
home_appliances,764,80171.53,103.98
agro_industry_and_commerce,182,72530.47,342.12
furniture_living_room,422,68916.56,137.01
fixed_telephony,217,59583.0,225.69
home_confort,397,58572.04,134.96
air_conditioning,253,55024.96,185.27
audio,350,50688.5,139.25
small_appliances_home_oven_and_coffee,75,47445.71,624.29
books_general_interest,512,46856.88,84.73
kitchen_dining_laundry_garden_furniture,248,46328.37,164.87
construction_tools_lights,244,41080.0,135.13
construction_tools_safety,167,40544.52,208.99
industry_commerce_and_business,235,39669.61,148.02
food,450,29393.41,57.63
market_place,280,28378.47,91.25
costruction_tools_garden,194,25715.89,108.05
art,202,24202.64,115.8
fashion_shoes,240,23562.77,89.93
drinks,297,22428.7,59.18
signaling_and_security,140,21509.23,108.09
furniture_bedroom,95,20028.78,183.75
books_technical,260,19096.06,71.52
costruction_tools_tools,97,15903.95,154.41
food_drink,227,15179.48,54.6
fashion_male_clothing,112,10797.82,81.8
fashion_underwear_beach,121,9541.55,72.84
christmas_supplies,128,8800.82,57.52
tablets_printing_image,79,7528.41,90.7
cine_photo,65,6933.46,96.3
music,38,6034.35,158.8
dvds_blu_ray,59,5999.39,93.74
books_imported,53,4639.85,77.33
party_supplies,39,4485.18,104.31
furniture_mattress_and_upholstery,38,4368.08,114.95
fashio_female_clothing,39,2803.64,58.41
fashion_sport,27,2119.51,70.65
la_cuisine,13,2054.99,146.79
arts_and_craftmanship,23,1814.01,75.58
diapers_and_hygiene,27,1567.59,40.19
flowers,29,1110.04,33.64
home_comfort_2,24,760.27,25.34
cds_dvds_musicals,12,730.0,52.14
fashion_childrens_clothes,8,569.85,71.23
security_and_services,2,283.29,141.64
